QS 2016 World Rank, QS 2016 Score,Institution
3,98.6,Cambridge
6,97.7,Oxford
7,97.2,UCL
8,96.1,Imperial College
19,91.0,King's College London
21,90.8,Edinburgh
33,87.2,Manchester
35,86.2,London School of Economics
37,85.0,Bristol
48,81.6,Warwick
61,77.0,Durham
62,76.8,Glasgow
68,75.9,St Andrews
70,75.4,Nottingham
76,74.6,Birmingham
80,73.6,Sheffield
81,72.8,Southampton
87,72.0,Leeds
103,68.3,York
109,67.0,Queen Mary
121,65.5,Lancaster
122,65.0,Cardiff
137,63.2,Aberdeen
151,61.1,Liverpool
156,60.1,Reading
159,59.8,Bath
161,59.5,Exeter
162,59.4,Newcastle
182,55.8,Queen's Belfast
187,55.6,Sussex
228,49.5,Loughborough
231,49.3,Royal Holloway
235,48.9,Leicester
239,48.4,UEA
247,47.6,Surrey
249,47.5,Strathclyde
261,46.0,Dundee
275,44.8,SOAS
290,43.1,Birkbeck
301,42.4,City
303,41.9,Essex
318,40.5,Heriot-Watt
324,40.1,Oxford Brookes
331,39.7,Brunel
346,38.8,Aston
360,37.6,Kent
384,36.0,Stirling
400,35.0,Swansea
411,NaN,Bangor
451,NaN,Goldsmiths
471,NaN,Kingston
501,NaN,Aberystwyt
501,NaN,Keele
551,NaN,Bradford
551,NaN,Hull
551,NaN,Ulster
601,NaN,Portsmouth
651,NaN,London Met
651,NaN,Middlesex
651,NaN,Plymouth
651,NaN,Salford
701,NaN,Coventry
701,NaN,Manchester Met
701,NaN,Northumbria
701,NaN,Nottingham Trent
701,NaN,Robert Gordon
701,NaN,Central Lancashire
701,NaN,East London
701,NaN,Greenwich
701,NaN,Hertfordshire
701,NaN,Huddersfield
